id_pumpe;haendler;strasse;plz;ort;pumpe;verfuegbar;link;geo_point_2d;geo_shape
7;Erlenvelo;Goldbachweg 12;4058;Basel;Handpumpe;7/24;http://www.erlenvelo.ch/;47.57225764609119, 7.601330894935904;"{""coordinates"": [7.601330894935904, 47.57225764609119], ""type"": ""Point""}"
12;Speichä 36;Therwilerstrasse 28;4054;Basel;Kompressor;7/24;http://www.speichae36.ch/;47.55008114238204, 7.576652516744406;"{""coordinates"": [7.576652516744406, 47.55008114238204], ""type"": ""Point""}"
17;Velove;Strassburgerallee 76;4055;Basel;Handpumpe;7/24;http://velove.ch/;47.562482730886124, 7.569740409276199;"{""coordinates"": [7.569740409276199, 47.562482730886124], ""type"": ""Point""}"
22;Cenci Sport GmbH;Schmiedgasse 23;4125;Riehen;Handpumpe;7/24;http://cencisport.ch/;47.58481303529714, 7.651724182366689;"{""coordinates"": [7.651724182366689, 47.58481303529714], ""type"": ""Point""}"
27;Sportamt des Kantons Basel-Stadt;St. Jakbos-Strasse 400;4052;Basel;Kompressor;7/24;;47.539983513982754, 7.620058305356642;"{""coordinates"": [7.620058305356642, 47.539983513982754], ""type"": ""Point""}"
28;Biciclettista;Innere Margarethenstrasse 19-25;4051;Basel;Kompressor;7/24;;47.549503193890125, 7.58650414689903;"{""coordinates"": [7.58650414689903, 47.549503193890125], ""type"": ""Point""}"
29;Ciclissimo Basel;Hammerstrasse 142;4052;Basel;Handpumpe;7/24;;47.567404658145975, 7.595191374021805;"{""coordinates"": [7.595191374021805, 47.567404658145975], ""type"": ""Point""}"
4;Universitätsspital Basel;Petersgraben 2;4051;Basel;Handpumpe;7/24;;47.561165128568796, 7.5855170958456295;"{""coordinates"": [7.585517095845629, 47.561165128568796], ""type"": ""Point""}"
5;Velostation Centralbahnplatz;Centralbahnplatz;4051;Basel;Handpumpe;beschränkt;https://www.velostation.ch/velostationen/basel-3/#c2777;47.54828927127243, 7.590324272230783;"{""coordinates"": [7.590324272230783, 47.54828927127243], ""type"": ""Point""}"
8;ChezVelo;St. Johanns-Vorstadt 64;4056;Basel;Handpumpe;7/24;https://www.chezvelo.com/;47.564742349390286, 7.5836140666883995;"{""coordinates"": [7.5836140666884, 47.564742349390286], ""type"": ""Point""}"
9;Gellert-Veloteam GmbH;Sevogelstrasse 83;4052;Basel;Kompressor;7/24;http://www.gellert-veloteam.ch/;47.5489732125289, 7.601727277829357;"{""coordinates"": [7.601727277829357, 47.5489732125289], ""type"": ""Point""}"
13;Velowerkstatt Bossert;Burgweg 15;4058;Basel;Kompressor;7/24;http://www.velowerkstatt-bossert.ch/;47.55790244487819, 7.601001754232232;"{""coordinates"": [7.601001754232232, 47.55790244487819], ""type"": ""Point""}"
18;CO13;Hegenheimerstrasse 57;4055;Basel;Kompressor;7/24;http://www.co13.ch/velo/;47.56049813882882, 7.571539527817894;"{""coordinates"": [7.571539527817894, 47.56049813882882], ""type"": ""Point""}"
23;Dragocycles;Altrheinweg 90;4057;Basel;Handpumpe;7/24;https://www.dragocycles.ch/;47.57991537173388, 7.589202213032375;"{""coordinates"": [7.589202213032375, 47.57991537173388], ""type"": ""Point""}"
25;Fachmaturitätsschule;Engelgasse 120;4052;Basel;Kompressor;7/24;www.fmsbasel.ch;47.547343000395436, 7.604959759851126;"{""coordinates"": [7.604959759851126, 47.547343000395436], ""type"": ""Point""}"
26;Löwenzahn Bikes;St. Johanns-Vorstadt 16;4056;Basel;Handpumpe;7/24;http://loewenzahn-bikes.ch/;47.562883234687, 7.585030392854108;"{""coordinates"": [7.585030392854108, 47.562883234687], ""type"": ""Point""}"
1;2 Rad Basilisk AG;Margarethenstrasse 59;4053;Basel;Kompressor;7/24;http://www.2radbasilisk.ch/;47.545950390332294, 7.583660592857578;"{""coordinates"": [7.583660592857578, 47.545950390332294], ""type"": ""Point""}"
2;Bike Outlet Velomärkte.ch;Freie Strasse 88;4051;Basel;Unbekannt;7/24;http://www.velomaerkte.ch/Velo_basel.php;47.55444581905455, 7.591109099284496;"{""coordinates"": [7.591109099284496, 47.55444581905455], ""type"": ""Point""}"
3;Universitätsspital Basel;Hebelstrasse 20;4056;Basel;Handpumpe;7/24;<Null>;47.56087163734276, 7.581953639463341;"{""coordinates"": [7.581953639463341, 47.56087163734276], ""type"": ""Point""}"
6;Voyage Cycling Store;Grenzacherstrasse 10;4058;Basel;Unbekannt;7/24;https://www.voyagecyclingstore.ch/;47.55887827688344, 7.599963585979217;"{""coordinates"": [7.599963585979217, 47.55887827688344], ""type"": ""Point""}"
11;Vitelli Velobedarf AG;Dornacherstrasse 101;4053;Basel;Handpumpe;7/24;https://www.vitelli.ch/;47.544054727565126, 7.589200007473467;"{""coordinates"": [7.589200007473467, 47.544054727565126], ""type"": ""Point""}"
14;VeloKlybeck;Klybeckstr. 245;4057;Basel;Kompressor;7/24;;47.576093624236314, 7.588383256299152;"{""coordinates"": [7.588383256299152, 47.576093624236314], ""type"": ""Point""}"
15;Veloplus AG;Leimenstrasse 78;4051;Basel;Kompressor;7/24;https://www.veloplus.ch/laeden/basel;47.55179258423468, 7.580146400910136;"{""coordinates"": [7.580146400910136, 47.55179258423468], ""type"": ""Point""}"
16;Biciclettista;Steinentorberg 28;4051;Basel;Kompressor;7/24;http://www.biciclettista.ch/;47.54922088711959, 7.58792354812752;"{""coordinates"": [7.58792354812752, 47.54922088711959], ""type"": ""Point""}"
19;Reemo Velos;Furkastrasse 1;4054;Basel;Handpumpe;7/24;http://www.reemovelos.ch/;47.54653427964725, 7.562133508909475;"{""coordinates"": [7.562133508909475, 47.54653427964725], ""type"": ""Point""}"
20;Velostation St-Johann;Vogesenplatz;4056;Basel;Handpumpe;beschränkt;https://www.velostation.ch/velostationen/basel-3/#c2777;47.57080428020664, 7.572595059158808;"{""coordinates"": [7.572595059158808, 47.57080428020664], ""type"": ""Point""}"
21;Schenker Velos;Allschwilerstrasse 39;4055;Basel;Handpumpe;7/24;https://schenker-velos.ch/Schenker_Velos/Willkommen.html;47.556151327754584, 7.572937091060569;"{""coordinates"": [7.572937091060569, 47.556151327754584], ""type"": ""Point""}"
